"state_abbr","state_name","org_type","org_name","agency_name","local_phone","local_phone_ext","local_notes","local_tdd","local_tdd_ext","agency_id","tollfree_phone","tollfree_ext","tollfree_instate_flag","tollfree_notes","tollfree_tdd","tollfree_tdd_ext","spanish_phone","spanish_ext","address","address2","agency_notes","email_address","web_address"
"DE","Delaware","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"FL","Florida","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"GA","Georgia","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"GU","Guam","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"HI","Hawaii","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"IA","Iowa","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"ID","Idaho","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"IL","Illinois","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"IN","Indiana","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"KS","Kansas","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"KY","Kentucky","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"LA","Louisiana","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MA","Massachusetts","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MD","Maryland","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"ME","Maine","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MI","Michigan","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MN","Minnesota","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MO","Missouri","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MP","Northern Mariana Islands","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MS","Mississippi","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"MT","Montana","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NC","North Carolina","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"ND","North Dakota","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NE","Nebraska","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NH","New Hampshire","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NJ","New Jersey","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NM","New Mexico","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NV","Nevada","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"NY","New York","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"OH","Ohio","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"OK","Oklahoma","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"OR","Oregon","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"PA","Pennsylvania","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"PR","Puerto Rico","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"RI","Rhode Island","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"SC","South Carolina","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"SD","South Dakota","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"TN","Tennessee","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"TX","Texas","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"UT","Utah","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"VA","Virginia","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"VI","Virgin Islands","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"VT","Vermont","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"WA","Washington","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"WI","Wisconsin","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"WV","West Virginia","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"WY","Wyoming","N","CHIP -- Insure Kids Now","Children's Health Insurance Program",,,,,,"00066","8775437669",,"yes",,,,,,,,,,"www.insurekidsnow.gov"
"AL","Alabama","A","Carrier","Blue Cross Blue Shield of Alabama",,,,,,"01149","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"AL","Alabama","F","SHIP -- State Health Insurance Assistance Program","State Health Insurance Assistance Program (SHIP)","3342425743",,,,,"00200","8002435463",,"no","1-800-AGELINE",,,,,,,,"ageline@adss.alabama.gov","http://www.alabamaageline.gov"
"AL","Alabama","M","State Department of Insurance","Insurance Department of Alabama - Consumer Service Division","3342693550",,,,,"00356","8004333966",,"yes",,,,,,,,,"myra.frick@insurance.alabama.gov","www.aldoi.gov"
"AL","Alabama","O","Nursing Home State Survey Agency","Alabama Department of Public Health","3342065111",,,,,"00191","8003569596",,"no","Complaint line",,,,,"201 Monroe Street","Suite 600",,,"www.adph.org"
"AR","Arkansas","A","Carrier","Blue Cross Blue Shield of Arkansas",,,,,,"00037","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"AR","Arkansas","F","SHIP -- State Health Insurance Assistance Program","Senior Health Insurance Information Program (SHIIP)","5013712782",,,,,"00544","8002246330",,"no",,"5016834468",,"5013712782",,,,,"insurance.shiip@arkansas.gov","http://www.insurance.arkansas.gov/shiip.htm"
"AR","Arkansas","E","Fiscal Intermediary","Blue Cross Blue Shield of Arkansas",,,,,,"00037","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"AR","Arkansas","M","State Department of Insurance","Department of Insurance of Arkansas","5013712782",,,,,"00176","8002246330",,"no",,,,,,,,,,"www.arkansas.gov/insurance"
"AR","Arkansas","O","Nursing Home State Survey Agency","Department of Human Services of Arkansas - Office of Long Term Care","5013206145",,,"5016826789",,"00163","8005824887",,"no","Complaint Hotline",,,,,,,,"carol.shockley@ar.gov","www.humanservices.arkansas.gov"
"AZ","Arizona","F","SHIP -- State Health Insurance Assistance Program","Arizona State Health Insurance Assistance Program","6025424446",,"711 for TTY",,,"00543","8004324040",,"no","Spanish available upon request",,,,,,,,"pgonzalez-emblem@azdes.gov","https://www.azdes.gov/daas/ship/"
"AZ","Arizona","E","Fiscal Intermediary","Noridian Administrative Services",,,,,,"01146","8006334227",,"no","1-800-MEDICARE",,,"6028644884",,,,"Medicare B",,
"AZ","Arizona","M","State Department of Insurance","Arizona Department of Insurance","6023642499",,,,,"00357","8003252548",,"yes",,,,,,,,,"consumers@azinsurance.gov","www.id.state.az.us"
"AZ","Arizona","O","Nursing Home State Survey Agency","Department of Health Services of Arizona - Assurance and Licensure Division of Long Term Care","6023642690",,,,,"00156",,,"no",,,,,,,,,,
"CA","California","D","ESRD --  End-Stage Renal Disease Networks","FMQAI: ESRD Network 18 of Southern California","8882681539",,,,,"00523","8006374767",,"no",,,,,,,,"Region X; Agency was previously know as: Southern California Renal Disease Council - Network 18","hedwards@nw18.esrd.net","http://esrdnetwork18.org/"
"CA","California","A","Carrier","National Heritage Insurance Company",,,,,,"00438","8006334227",,"no","1-800-MEDICARE",,,,,,,"A CMS Part B Medicare Carrier.",,"www.medicarenhic.com"
"CA","California","E","Fiscal Intermediary","Noridian",,,,,,"00567","8006334227",,"no",,,,,,,,,,
"AK","Alaska","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"AZ","Arizona","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"CA","California","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"ID","Idaho","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"NV","Nevada","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"OR","Oregon","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"WA","Washington","J","RHHI -- Regional Home Health Intermediary","Noridian",,,,,,"00567","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"AL","Alabama","E","Fiscal Intermediary","Blue Cross Blue Shield of Alabama",,,,,,"01149","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"CA","California","F","SHIP -- State Health Insurance Assistance Program","California Health Insurance Counseling & Advocacy Program (HICAP)",,,,,,"00294","8004340222",,"no",,,,,,,,,"hicapteam@aging.ca.gov","www.aging.ca.gov/HICAP"
"CA","California","M","State Department of Insurance","California Department of Insurance","2138978921",,,,,"00106","8009274357",,"yes",,,,,,,,"Formerly Department of Consumer Insurance of California",,"http://www.insurance.ca.gov/"
"CA","California","AG","ESRD State Survey Agency","California Department of Public Health","9164407360",,,,,"00158","8002369747",,"no",,,,,,,,"Formerly Department of Health Services of California - Licensing and Certification Program",,"www.cdph.ca.gov"
"CA","California","O","Nursing Home State Survey Agency","California Department of Public Health","9164407360",,,,,"00158","8002369747",,"no",,,,,,,,"Formerly Department of Health Services of California - Licensing and Certification Program",,"www.cdph.ca.gov"
"AS","American Samoa","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"AZ","Arizona","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"CA","California","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"GU","Guam","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"HI","Hawaii","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"MP","Northern Mariana Islands","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"NV","Nevada","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, San Francisco Regional Office","4157443602",,,,,"00078",,,"no",,,,,,,,,,"www.cms.gov"
"AS","American Samoa","D","ESRD --  End-Stage Renal Disease Networks","Western Pacific Renal Network, LLC - Network 17","4158972400",,,,,"00562","8002323773",,"no",,,,,,,,"Region X - Northern CA, AS, GU, HI, MP",,"www.esrdnet17.org"
"CA","California","D","ESRD --  End-Stage Renal Disease Networks","Western Pacific Renal Network, LLC - Network 17","4158972400",,,,,"00562","8002323773",,"no",,,,,,,,"Region X - Northern CA, AS, GU, HI, MP",,"www.esrdnet17.org"
"GU","Guam","D","ESRD --  End-Stage Renal Disease Networks","Western Pacific Renal Network, LLC - Network 17","4158972400",,,,,"00562","8002323773",,"no",,,,,,,,"Region X - Northern CA, AS, GU, HI, MP",,"www.esrdnet17.org"
"HI","Hawaii","D","ESRD --  End-Stage Renal Disease Networks","Western Pacific Renal Network, LLC - Network 17","4158972400",,,,,"00562","8002323773",,"no",,,,,,,,"Region X - Northern CA, AS, GU, HI, MP",,"www.esrdnet17.org"
"MP","Northern Mariana Islands","D","ESRD --  End-Stage Renal Disease Networks","Western Pacific Renal Network, LLC - Network 17","4158972400",,,,,"00562","8002323773",,"no",,,,,,,,"Region X - Northern CA, AS, GU, HI, MP",,"www.esrdnet17.org"
"CO","Colorado","A","Carrier","Noridian Administrative Services",,,,,,"01146","8006334227",,"no","1-800-MEDICARE",,,,,,,"Medicare B",,"www.noridianmedicare.com"
"CO","Colorado","F","SHIP -- State Health Insurance Assistance Program","Senior Health Insurance Assistance Program (SHIP)","7203218850",,,"3038947880",,"00545","8886967213",,"no",,,,"8666659668",,,,,"dora_ins_seniorhealthstaff@state.co.us","www.dora.colorado.gov/insurance"
"CO","Colorado","M","State Department of Insurance","Department of Insurance of Colorado","3038947499",,,,,"00177","8009303745",,"yes",,,,,,,,,,"www.dora.state.co.us/insurance"
"CO","Colorado","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"MT","Montana","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"ND","North Dakota","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"SD","South Dakota","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"UT","Utah","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"WY","Wyoming","K","CMS RO - Centers for Medicare & Medicaid Services Regional Office","CMS, Denver Regional Office","3038441568",,,,,"00074",,,"no",,,,,,,,,,"www.cms.gov"
"CO","Colorado","O","Nursing Home State Survey Agency","Colorado Department of Public Health and Environment","3036922800",,,,,"00189",,,"no",,,,,,,,,,"www.healthfacilities.info"
"AZ","Arizona","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"CO","Colorado","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"NM","New Mexico","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"NV","Nevada","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"UT","Utah","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"WY","Wyoming","D","ESRD --  End-Stage Renal Disease Networks","Intermountain ESRD Network - Network 15","3038318818",,,,,"00251","8007838818",,"no","also (888) 777 - 0105",,,,,,,"Region X","drodgers@nw15.esrd.net","www.esrdnet15.org"
"CT","Connecticut","F","SHIP -- State Health Insurance Assistance Program","CHOICES","8604245274",,,,,"00546","8009949422",,"yes","in-state","8008424524",,,,,,"Connecticut Program for Health Insurance Assistance, Outreach, Information & Referral Counseling and Eligibility Screening","saundra.leubner@ct.gov","www.ct.gov/agingservices"
"CT","Connecticut","M","State Department of Insurance","Department of Insurance of Connecticut","8602973800",,,,,"00178","8002033447",,"yes",,,,,,,,,,"www.ct.gov/cid"
"CT","Connecticut","O","Nursing Home State Survey Agency","Department of Public Health of Connecticut - Division of Health Systems Regulation","8605097400",,,,,"00193",,,"no",,,,,,,,,"webmaster.dph@ct.gov","www.ct.gov/dph"
"CT","Connecticut","A","Carrier","First Coast Service Options, Inc.",,,,,,"00266","8006334227",,"no","1-800-MEDICARE",,,,,,,,,
"CT","Connecticut","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"MA","Massachusetts","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"ME","Maine","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"NH","New Hampshire","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"RI","Rhode Island","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"VT","Vermont","D","ESRD --  End-Stage Renal Disease Networks","ESRD Network of New England - Network 1","2033879332",,,,,"00246","8662863773",,"no",,,,,,,,,"info@nw1.esrd.net","www.networkofnewengland.org"
"AK","Alaska","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"AL","Alabama","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"AR","Arkansas","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"AS","American Samoa","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"AZ","Arizona","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"CA","California","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"CO","Colorado","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"CT","Connecticut","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"DC","Washington D.C.","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"DE","Delaware","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"FL","Florida","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"GA","Georgia","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"GU","Guam","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"HI","Hawaii","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"IA","Iowa","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"ID","Idaho","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"IL","Illinois","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"IN","Indiana","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
"KS","Kansas","B","OIG (DHHS) -- Office of the Inspector General (Department of Health and Human Services)","Department of Health and Human Services - Office of Inspector General","2026191343",,,,,"00118","8004478477",,"no",,"8003774950",,,,,,,"hhstips@oig","www.oig.hhs.gov"
